Layout,Cups_Remaining,Aimed_Cup,P_Hit_Target,P_Hit_Any,P_Miss,Other_Cups_Hit_Distribution
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",0,0.323,0.454,0.546,"1:0.057,2:0.060,4:0.011,5:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",1,0.323,0.523,0.477,"0:0.069,2:0.014,3:0.057,4:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",2,0.323,0.538,0.46199999999999997,"0:0.081,1:0.017,4:0.057,5:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",3,0.323,0.463,0.5369999999999999,"1:0.069,4:0.014,6:0.057"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",4,0.323,0.524,0.476,"0:0.020,1:0.081,2:0.069,3:0.017,5:0.014"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",5,0.323,0.422,0.5780000000000001,"0:0.001,2:0.081,4:0.017"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",6,0.323,0.392,0.608,3:0.069
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",0,0.323,0.454,0.546,"1:0.057,2:0.060,4:0.011,5:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",1,0.323,0.534,0.46599999999999997,"0:0.069,2:0.014,3:0.057,4:0.060,7:0.011"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",2,0.323,0.538,0.46199999999999997,"0:0.081,1:0.017,4:0.057,5:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",3,0.323,0.466,0.534,"1:0.069,4:0.014,7:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",4,0.323,0.581,0.41900000000000004,"0:0.020,1:0.081,2:0.069,3:0.017,5:0.014,7:0.057"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",5,0.323,0.422,0.5780000000000001,"0:0.001,2:0.081,4:0.017"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",7,0.323,0.493,0.507,"1:0.020,3:0.081,4:0.069"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",0,0.323,0.454,0.546,"1:0.057,2:0.060,4:0.011,5:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",1,0.323,0.526,0.474,"0:0.069,2:0.014,3:0.057,4:0.060,8:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",2,0.323,0.549,0.45099999999999996,"0:0.081,1:0.017,4:0.057,5:0.060,8:0.011"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",3,0.323,0.406,0.594,"1:0.069,4:0.014"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",4,0.323,0.584,0.41600000000000004,"0:0.020,1:0.081,2:0.069,3:0.017,5:0.014,8:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",5,0.323,0.479,0.521,"0:0.001,2:0.081,4:0.017,8:0.057"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",8,0.323,0.494,0.506,"1:0.001,2:0.020,4:0.081,5:0.069"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",0,0.323,0.454,0.546,"1:0.057,2:0.060,4:0.011,5:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",1,0.323,0.523,0.477,"0:0.069,2:0.014,3:0.057,4:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",2,0.323,0.541,0.45899999999999996,"0:0.081,1:0.017,4:0.057,5:0.060,9:0.003"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",3,0.323,0.406,0.594,"1:0.069,4:0.014"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",4,0.323,0.524,0.476,"0:0.020,1:0.081,2:0.069,3:0.017,5:0.014"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",5,0.323,0.482,0.518,"0:0.001,2:0.081,4:0.017,9:0.060"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",9,0.323,0.405,0.595,"2:0.001,5:0.081"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",0,0.323,0.451,0.5489999999999999,"1:0.057,2:0.060,4:0.011"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",1,0.323,0.534,0.46599999999999997,"0:0.069,2:0.014,3:0.057,4:0.060,7:0.011"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",2,0.323,0.478,0.522,"0:0.081,1:0.017,4:0.057"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",3,0.323,0.523,0.477,"1:0.069,4:0.014,6:0.057,7:0.060"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",4,0.323,0.567,0.43300000000000005,"0:0.020,1:0.081,2:0.069,3:0.017,7:0.057"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",6,0.323,0.406,0.594,"3:0.069,7:0.014"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",7,0.323,0.51,0.49,"1:0.020,3:0.081,4:0.069,6:0.017"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",0,0.323,0.451,0.5489999999999999,"1:0.057,2:0.060,4:0.011"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",1,0.323,0.526,0.474,"0:0.069,2:0.014,3:0.057,4:0.060,8:0.003"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",2,0.323,0.489,0.511,"0:0.081,1:0.017,4:0.057,8:0.011"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",3,0.323,0.463,0.5369999999999999,"1:0.069,4:0.014,6:0.057"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",4,0.323,0.57,0.43000000000000005,"0:0.020,1:0.081,2:0.069,3:0.017,8:0.060"
triangle_front,"[0, 1, 2, 3, 4, 6, 8]",6,0.323,0.392,0.608,3:0.069
