Layout,Cups_Remaining,Aimed_Cup,P_Hit_Target,P_Hit_Any,P_Miss,Other_Cups_Hit_Distribution
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",0,0.106,0.27,0.73,"1:0.046,2:0.064,3:0.012,4:0.032,5:0.010"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",1,0.106,0.335,0.665,"0:0.064,2:0.035,3:0.046,4:0.064,5:0.008,6:0.012"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",2,0.106,0.328,0.6719999999999999,"0:0.060,1:0.041,3:0.007,4:0.046,5:0.064,6:0.004"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",3,0.106,0.276,0.724,"0:0.015,1:0.064,2:0.008,4:0.035,5:0.002,6:0.046"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",4,0.106,0.351,0.649,"0:0.038,1:0.060,2:0.064,3:0.041,5:0.035,6:0.007"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",5,0.106,0.234,0.766,"0:0.017,1:0.006,2:0.060,3:0.003,4:0.041,6:0.001"
triangle_front,"[0, 1, 2, 3, 4, 5, 6]",6,0.106,0.194,0.806,"0:0.001,1:0.015,3:0.064,4:0.008"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",0,0.106,0.275,0.725,"1:0.046,2:0.064,3:0.012,4:0.032,5:0.010,7:0.005"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",1,0.106,0.355,0.645,"0:0.064,2:0.035,3:0.046,4:0.064,5:0.008,7:0.032"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",2,0.106,0.336,0.6639999999999999,"0:0.060,1:0.041,3:0.007,4:0.046,5:0.064,7:0.012"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",3,0.106,0.294,0.706,"0:0.015,1:0.064,2:0.008,4:0.035,5:0.002,7:0.064"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",4,0.106,0.39,0.61,"0:0.038,1:0.060,2:0.064,3:0.041,5:0.035,7:0.046"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",5,0.106,0.24,0.76,"0:0.017,1:0.006,2:0.060,3:0.003,4:0.041,7:0.007"
triangle_front,"[0, 1, 2, 3, 4, 5, 7]",7,0.106,0.304,0.696,"0:0.013,1:0.038,2:0.015,3:0.060,4:0.064,5:0.008"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",0,0.106,0.28,0.72,"1:0.046,2:0.064,3:0.012,4:0.032,5:0.010,8:0.010"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",1,0.106,0.333,0.667,"0:0.064,2:0.035,3:0.046,4:0.064,5:0.008,8:0.010"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",2,0.106,0.356,0.644,"0:0.060,1:0.041,3:0.007,4:0.046,5:0.064,8:0.032"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",3,0.106,0.238,0.762,"0:0.015,1:0.064,2:0.008,4:0.035,5:0.002,8:0.008"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",4,0.106,0.408,0.5920000000000001,"0:0.038,1:0.060,2:0.064,3:0.041,5:0.035,8:0.064"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",5,0.106,0.279,0.721,"0:0.017,1:0.006,2:0.060,3:0.003,4:0.041,8:0.046"
triangle_front,"[0, 1, 2, 3, 4, 5, 8]",8,0.106,0.302,0.698,"0:0.011,1:0.017,2:0.038,3:0.006,4:0.060,5:0.064"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",0,0.106,0.272,0.728,"1:0.046,2:0.064,3:0.012,4:0.032,5:0.010,9:0.002"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",1,0.106,0.325,0.675,"0:0.064,2:0.035,3:0.046,4:0.064,5:0.008,9:0.002"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",2,0.106,0.334,0.6659999999999999,"0:0.060,1:0.041,3:0.007,4:0.046,5:0.064,9:0.010"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",3,0.106,0.23,0.77,"0:0.015,1:0.064,2:0.008,4:0.035,5:0.002"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",4,0.106,0.352,0.648,"0:0.038,1:0.060,2:0.064,3:0.041,5:0.035,9:0.008"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",5,0.106,0.297,0.7030000000000001,"0:0.017,1:0.006,2:0.060,3:0.003,4:0.041,9:0.064"
triangle_front,"[0, 1, 2, 3, 4, 5, 9]",9,0.106,0.194,0.806,"0:0.003,1:0.002,2:0.017,4:0.006,5:0.060"
triangle_front,"[0, 1, 2, 3, 4, 6, 7]",0,0.106,0.265,0.735,"1:0.046,2:0.064,3:0.012,4:0.032,7:0.005"
